video_path,label
FaceForensics\original_sequences\youtube\c23\videos\000.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\001.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\002.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\003.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\004.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\005.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\006.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\007.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\008.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\009.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\010.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\011.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\012.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\013.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\014.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\015.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\016.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\017.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\018.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\019.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\020.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\021.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\022.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\023.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\024.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\025.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\026.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\027.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\028.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\029.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\030.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\031.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\032.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\033.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\034.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\035.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\036.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\037.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\038.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\039.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\040.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\041.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\042.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\043.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\044.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\045.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\046.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\047.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\048.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\049.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\050.mp4,0
